Wall time,Step,Value
1735826614.3476725,17932,-3097.2412109375
1735826616.8929007,17981,-3097.224853515625
1735826619.8988092,18041,-2897.2333984375
1735826622.6208534,18095,-2997.223876953125
1735826625.2286103,18148,-3197.2099609375
1735826627.3963408,18192,-3397.202880859375
1735826630.4667778,18252,-3297.2041015625
1735826633.2208824,18303,-3297.194091796875
1735826636.0980096,18358,-3397.1943359375
1735826638.468573,18405,-3597.181884765625
1735826640.9690273,18455,-3597.156494140625
1735826643.8621118,18512,-3697.15673828125
1735826646.5263178,18565,-3797.162841796875
1735826649.3853133,18619,-3797.173583984375
1735826652.2528923,18673,-3697.16796875
1735826655.293112,18732,-3497.1650390625
1735826658.0111356,18784,-3497.137939453125
1735826660.8897216,18839,-3297.13525390625
1735826663.880139,18897,-3197.1416015625
1735826666.989248,18957,-3097.1484375
1735826669.8903322,19012,-3097.15234375
1735826672.661076,19064,-3297.155517578125
1735826675.3766105,19116,-3497.169677734375
1735826678.104634,19170,-3597.153564453125
1735826680.9839287,19228,-3597.14892578125
1735826683.895673,19283,-3697.12109375
1735826686.0448651,19325,-3697.1162109375
1735826688.5821087,19373,-3897.102294921875
1735826691.4591894,19430,-3897.088134765625
1735826694.4160047,19488,-3697.08203125
1735826697.330318,19546,-3497.08544921875
1735826700.1021795,19601,-3597.0888671875
1735826702.736988,19649,-3597.08837890625
1735826705.7702518,19707,-3497.081298828125
1735826708.5155687,19761,-3397.096435546875
1735826711.4255075,19818,-3397.104736328125
1735826714.1497433,19873,-3397.092041015625
1735826716.675665,19923,-3397.08642578125
1735826719.8192453,19983,-3297.088134765625
1735826722.589927,20038,-3297.099609375
1735826725.650354,20098,-3297.112548828125
1735826728.459488,20153,-3197.124755859375
1735826731.6129603,20212,-3197.12890625
1735826734.674251,20271,-3097.1328125
1735826737.9380884,20331,-3097.121826171875
1735826741.038817,20390,-3097.104736328125
1735826743.8325915,20444,-2997.103271484375
1735826746.309984,20492,-2897.10595703125
1735826749.1056807,20546,-2797.109130859375
1735826752.400155,20606,-2697.124755859375
1735826755.4480007,20664,-2497.13818359375
